descrizione;likes;retweets;data
Emergenza #Covid, non solo calcetto, anche anche s'istrumpa e tango nella lista dei divieti. Pubblicato sulla Gazzetta Ufficiale    il decreto del ministro dello sport @vinspadafora  #ANSA https://t.co/BbjuvZhT2D;26;10;2020-10-14 10:56
L'ultima cena con gli apostoli sanzionati dai poliziotti e la conta dei sette nani. Sui social si scatena l'ironia sulle misure anti-Covid previste nell'ultimo Dpcm.  #ANSA #Dpcm #covid #coronavirus   https://t.co/oHTG2ygSoB;32;12;2020-10-14 12:19
Il virologo #Crisanti: '#Lockdown a Natale? Credo sia nell'ordine delle cose' #Coronavirus #Covid #ANSA https://t.co/btHnx7RD34;65;29;2020-10-14 12:26
Anche il tennista Fabio #Fognini è risultato positivo al #Covid #ANSA  https://t.co/e8VSvuTFRT;25;8;2020-10-14 12:31
Fabio #Fognini è risultato positivo al Covid-19.  E'  l'esito del tampone effettuato sul tennista azzurro all'#Open in corso a #Cagliari. #ANSA #14ottobre @fabio_fognini #tennis  https://t.co/SlauBYqW60;16;6;2020-10-14 12:48
"Funerali del papà di #Totti: in 30 alle esequie di Enzo, ""Lo sceriffo"". Cerimonia in forma ristretta per norme Covid, c'era anche Bruno. Guarda le foto e il video  #Conti. #ANSA  @OfficialASRoma @Totti #14ottobre https://t.co/of0IRlEFy4";17;5;2020-10-14 13:28
"""Valuto che ci rimangono quindici giorni per mettere in campo misure utili per invertire la tendenza"".  Così il responsabile del reparto Malattie infettive dell'ospedale Sacco di Milano, Massimo Galli.  #ANSA #Covid #Coronaviris #Galli   https://t.co/3OhVr4a0Yr";38;23;2020-10-14 13:38
Il presidente Mattarella ha ringraziato il governo per il lavoro fatto sinora sul Recovery fund spronando a mettere in campo la massima efficienza e rapidità.  #ANSA #Mattarella #Recovery #Conte #coronavirus #Covid  @Quirinale @GiuseppeConteIT  https://t.co/Kay1d3fKSB;31;17;2020-10-14 13:50
La ministra dell'Istruzione Lucia #Azzolina ribadisce che le scuole resteranno aperte. 'Sono già in atto misure adeguate per la #didattica in presenza', ha sottolineato. #ANSA #14ottobre @AzzolinaLucia #scuola #lockdown2 #pandemia #covid https://t.co/OOlNVP0RIn;43;11;2020-10-14 14:48
Con 29.048 tamponi effettuati,  sono 1.844 i nuovi positivi registrati in Lombardia, di questi 1032 a Milano #Coronavirus #ANSA https://t.co/E8OhrVawt7;19;12;2020-10-14 14:55
Record contagi in Italia, 7.332 casi in un giorno +++ FLASH #Coronavirus #ANSA https://t.co/2Bpr9ABmrH;144;59;2020-10-14 15:06
RT @Agenzia_Ansa: La ministra dell'Istruzione Lucia #Azzolina ribadisce che le scuole resteranno aperte. 'Sono già in atto misure adeguate…;0;11;2020-10-14 15:11
#Covid:  in #Francia, da venerdì torna lo stato d'emergenza. Era scaduto il 9 luglio e non era stato prorogato. #ANSA #14ottobre #pandemia #France https://t.co/Hk9ErQFgLs;28;19;2020-10-14 16:09
#Italia e #Olanda al cimitero di #Bergamo, omaggio alle vittime del #Covid. Deposte corone fiori con #Mancini, #Vialli, #Oriali, #Percassi e #Gori. #ANSA #14ottobre @giorgio_gori @robymancio https://t.co/ehoDCS0sry;19;11;2020-10-14 16:31
"RT @AnsaVeneto: &gt;ANSA-IL-PUNTO/COVID:Veneto,boom contagi,scoppia caso Immuni. In un giorno +657 casi,Usl finora non hanno inserito dati in…";0;11;2020-10-14 17:12
#Covid,  media: '#Macron annuncerà il coprifuoco a #Parigi e  in altre città dove è  massima allerta. Scatterà la sera alle 21'.  #ANSA #14ottobre #Francia #France @EmmanuelMacron  https://t.co/Hk9ErQFgLs;21;22;2020-10-14 17:29
#Covid,  media: i ristoranti in #Germania chiuderanno alle 23. Obbligo di #mascherina nelle zone dove si registra un aumento dei casi. #ANSA #14ottobre #pandemia  https://t.co/Hk9ErQFgLs;22;19;2020-10-14 17:36
Da #Cr7 a #Fognini, ecco tutti gli atleti positivi al #Coronavirus - #VIDEO #ANSA https://t.co/MnTMEEgGJu;4;3;2020-10-14 18:25
RT @AnsaAbruzzo: Covid: il punto in Abruzzo 126 casi e 70 positivi in Rsa https://t.co/BRHDM3SYU6;0;13;2020-10-14 18:29
RT @AnsaBasilicata: &gt ANSA-IL-PUNTO/COVID:rallenta aumento positivi in  Basilicata. Oggi è cominciata la distribuzione dei vaccini anti-influ…;0;5;2020-10-14 18:32
RT @AnsaCalabria: Covid: aumentano ancora positivi in Calabria da 44 a 60. Più casi attivi da 798 a 846.Eseguiti 228678 tamponi|#ANSA…;0;5;2020-10-14 18:32
RT @Ansa_ER: Covid: in E-R 4 morti e ricoveri in crescita. Alcune case di riposo chiudono le porte ai visitatori #ANSA https://t.co/EpLbz61…;0;9;2020-10-14 18:33
#Francia, il presidente Macron parla in diretta tv alla nazione: Stato d'emergenza da venerdì e #coprifuoco dalle 21, a partire da sabato, nella regione di #Parigi e nelle città ad alto rischio.   #ANSA  #14ottobre @EmmanuelMacron #covid #France #pandemia https://t.co/Hk9ErQFgLs;54;38;2020-10-14 18:50
#Covid, 4 calciatori del #Parma positivi, squadra in isolamento #ANSA https://t.co/JarRC6sPzr;18;11;2020-10-14 18:53
RT @AnsaRomaLazio:Covid: nel Lazio record di tamponi 15mila e 500.543 i casi positivi 5 decessi e 112 guariti #ANSA https://t.co/8PdSZw…;0;10;2020-10-14 18:54
RT @AnsaMarche: Covid: nelle Marche 72 ricoverati 6 in 24ore. Oggi i positivi (degenti più isolati) sono 1537 https://t.co/JFGikBbZFW;0;8;2020-10-14 18:55
RT @AnsaSicilia: Covid: 366 nuovi positivi in Sicilia. Due deceduti 54 guariti #ANSA https://t.co/cBkgdGirZX;0;7;2020-10-14 18:58
