descrizione,likes,retweets,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecco gli 'eroi' dell'emergenza #Covid. Volti, nomi e storie #FOTO
@Quirinale 
#ANSA
https://t.co/jOwiQRR8Nq",26,12,2020-10-20,11:51:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La richiesta del coprifuoco dalle 23 alle 5 fatta dalla Regione #Lombardia al governo ""credo non sia del tutto sufficiente per Milano"": è l'opinione del virologo e membro del Cts regionale Fabrizio Pregliasco #Covid
#ANSA
https://t.co/mD7gxelwMC",30,11,2020-10-20,11:45:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volontario,per,il,#vaccino,all'ANSA,,lottiamo,insieme,#Covid,#ANSA,https://t.co/heq6e71QsV,10,4,2020-10-20,10:28:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid, al Quirinale la consegna delle onorificenze. Mattarella: siamo chiamati a una prova di orgoglio
#ANSA
https://t.co/b0ThhvZMc0",18,5,2020-10-20,10:18:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Mattarella: 'Serve responsabilità collettiva'. Il presidente della Repubblica alla cerimonia di consegna delle onorificienze ai cittadini che si sono distinti nella battaglia al #covid
@Quirinale 
#ANSA
https://t.co/WASrPZU2oJ",36,10,2020-10-20,10:01:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Conte,,possibili,le,prime,dosi,del,#vaccino,ad,inizio,dicembre,@GiuseppeConteIT,#Covid,#ANSA,https://t.co/UkPkJuoaEs,90,38,2020-10-20,09:28:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid: Crisanti, Piano nazionale #tamponi inascoltato
#ANSA
https://t.co/LRmJANMC3K",62,21,2020-10-20,09:23:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Covid, l'attacco di de Magistris: errori gravi della Regione #Campania, verso il #lockdown
#ANSA
https://t.co/21jSBzrZTS",13,5,2020-10-20,08:08:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Il virus accelera, mai così tanti contagi nel mondo
#Covid #VIDEO #ANSA
https://t.co/9tznofEssq",32,15,2020-10-20,07:40:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Covid,#Giro,Positivi,ciclista,Uae,e,membro,dello,staff,Ag2r,#ANSA,https://t.co/OOJ9HoLejw,10,8,2020-10-20,07:37:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus 'annulla' i mercatini di Natale in Trentino Alto Adige
#ANSA
https://t.co/Ma3Il6q3SR",106,37,2020-10-20,06:20:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus Locatelli: 'Le prime vaccinazioni la prossima primavera'
#ANSA
https://t.co/UkP0tvuHL9",11,8,2020-10-20,06:00:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Coronavirus, il rapporto tra casi positivi e tamponi tocca il record del 9,4%
#ANSA
#ANSAScienza
https://t.co/h6r7pSeYhT",21,22,2020-10-20,05:40:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
